**** All Elevator Calls (time,src,dest,state,elev dt) stage 5 ****
Elevator call,15.749018245415527,0,-2,3,9, Done, dt, 27.250981754584473
Elevator call,29.795724992354963,-1,25,3,8, Done, dt, 72.20427500764504
Elevator call,30.19242759005715,-3,15,3,7, Done, dt, 40.80757240994285
Elevator call,30.71595021642338,-2,12,3,8, Done, dt, 48.28404978357662
Elevator call,36.316621751195726,34,49,3,9, Done, dt, 169.68337824880427
Elevator call,46.331069014906234,-2,5,3,9, Done, dt, 105.66893098509377
Elevator call,52.229924572991195,-1,17,3,7, Done, dt, 72.7700754270088
Elevator call,61.04837839712013,-4,37,3,6, Done, dt, 152.95162160287987
Elevator call,62.31340802643376,-4,39,3,5, Done, dt, 64.68659197356624
Elevator call,62.42923444391522,-1,41,3,4, Done, dt, 66.57076555608478
Elevator call,62.88805493560881,39,44,3,3, Done, dt, 178.1119450643912
Elevator call,66.30025923587709,0,-1,3,2, Done, dt, 26.699740764122907
Elevator call,67.07281282103918,-1,13,3,6, Done, dt, 92.92718717896082
Elevator call,67.39684559916532,-1,45,3,1, Done, dt, 70.60315440083468
Elevator call,72.32053834730914,0,33,3,3, Done, dt, 147.67946165269086
Elevator call,75.45009626287265,-4,0,3,6, Done, dt, 37.54990373712735
Elevator call,79.5386026857368,0,-1,3,4, Done, dt, 185.4613973142632
Elevator call,82.00106471150661,-2,18,3,1, Done, dt, 142.99893528849339
Elevator call,85.05084296434165,-1,41,3,2, Done, dt, 60.949157035658345
Elevator call,85.05145915275011,-3,26,3,0, Done, dt, 81.94854084724989
Elevator call,86.4092159125421,-2,0,3,0, Done, dt, 34.590784087457905
Elevator call,90.2739221800241,26,43,3,8, Done, dt, 49.7260778199759
Elevator call,97.56134129114707,0,49,3,7, Done, dt, 113.43865870885293
Elevator call,99.09729234442648,0,22,3,2, Done, dt, 149.90270765557352
Elevator call,100.09528650820425,-2,34,3,6, Done, dt, 90.90471349179575
Elevator call,104.82846934416693,0,12,3,0, Done, dt, 38.17153065583307
Elevator call,105.17810733609576,-3,42,3,5, Done, dt, 128.82189266390424
Elevator call,106.41201702717126,0,-1,3,4, Done, dt, 158.58798297282874
Elevator call,114.81417324516474,0,35,3,6, Done, dt, 87.18582675483526
Elevator call,115.21485779705449,-2,3,3,8, Done, dt, 94.78514220294551
Elevator call,132.22282787251766,27,-2,3,4, Done, dt, 143.77717212748234
Elevator call,146.35768340608342,-2,-4,3,0, Done, dt, 70.64231659391658
Elevator call,158.57843474073547,-1,0,3,7, Done, dt, 123.42156525926453
Elevator call,159.7248447389004,-1,1,3,9, Done, dt, 118.2751552610996
Elevator call,161.17660060250478,-1,42,3,1, Done, dt, 255.82339939749522
Elevator call,165.7531344344295,0,15,3,3, Done, dt, 26.246865565570488
Elevator call,176.14887504764965,0,-1,3,4, Done, dt, 88.85112495235035
Elevator call,181.45096466058635,0,14,3,5, Done, dt, 128.54903533941365
Elevator call,186.51782449175312,-1,4,3,7, Done, dt, 109.48217550824688
Elevator call,195.15148933880414,12,14,3,2, Done, dt, 35.84851066119586
Elevator call,198.24467886016964,0,18,3,8, Done, dt, 52.75532113983036
Elevator call,209.23422890304005,-1,-4,3,0, Done, dt, 33.76577109695995
Elevator call,213.83674037131436,-2,0,3,8, Done, dt, 79.16325962868564
Elevator call,215.1021415287812,-2,48,3,6, Done, dt, 109.8978584712188
Elevator call,215.59051445419368,-3,22,3,6, Done, dt, 205.40948554580632
Elevator call,221.97598265680836,0,-4,3,0, Done, dt, 49.024017343191645
Elevator call,222.5359102535349,-1,32,3,2, Done, dt, 102.4640897464651
Elevator call,224.36051008672325,-2,50,3,3, Done, dt, 154.63948991327675
Elevator call,227.04590382523793,-4,-3,3,8, Done, dt, 90.95409617476207
Elevator call,227.38691454468858,-3,0,3,9, Done, dt, 87.61308545531142
Elevator call,228.54160571475745,22,-4,3,4, Done, dt, 117.45839428524255
Elevator call,245.93291648523973,-1,0,3,9, Done, dt, 69.06708351476027
Elevator call,248.63460391073022,0,35,3,1, Done, dt, 61.36539608926978
Elevator call,269.20102863151715,0,21,3,1, Done, dt, 116.79897136848285
Elevator call,269.22907784823815,0,11,3,0, Done, dt, 37.77092215176185
